name,address,latlng,count,detailsUrl,Visited,Next to school,Ground cover,Fenced,Hours,Special Features,Fountain,Toilet,Benches,Picnic Tables,Dog Area,Park,Community Centre,Wading Pool,Splash Pad,Water Course,Basketball Court,Ball Hockey,Cricket Pitch,Baseball Field,Football Field,Field Hockey,Field House,Tennis Court,Ultimate Field,Soccer Field,Skateboard Park,Baby Swing,Chin Up Bar,Climbing Boulder,Climbing Ladder,Climbing Ropes,Climbing Wall,Fire Pole,Hand Games,Merry-go-round,Monkey Bars,Playhouse,Sandbox,Seesaw/Teetertotter,Slide,Spinner,Spring Rider,Swing,Talking Tubes,Tire Swing,Toddler Structure,Toddler Swing,Trapeze Ring,Tunnel,Tunnel Slide,Wobbly Bridge,Zipline
Foster Park,"5501 Aberdeen Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraserview Park,"7595 Victoria Drive, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Brock Park,"2301 Brock Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Park,"500 E 63rd Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Park,"3999 Glen Drive, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandview Park,"1657 Charles Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granville Loop Park,"1435 W 5th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granville Park,"3001 Fir Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grays Park,"4850 St. Catherines Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guelph Park,"2390 Brunswick Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hastings Community Park,"3000 E Pender Street, Vancouver BC",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hastings Mill Park,"1575 Alma Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heather Park,"702 W 18th Avenue, Vancouver BC",,1,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=177,Yes,,Wood chips,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,2,2,,,,1,,,,,
Hillcrest Park,"4501 Clancy Loranger Way, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humm Park,"7250 Humm Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Hendry (Trout Lake) Park,"3300 Victoria Drive, Vancouver BC",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Rogers Park,"110 W 7th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jones Park,"5350 Commercial Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaslo Park,"2851 E 7th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Park,"5175 Dumfries Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerrisdale Centennial Park,"5898 Yew Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killarney Park,"6205 Kerr Street, Vancouver BC",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingcrest Park,"4150 Knight Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitsilano Beach Park,"1499 Arbutus Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langara Golf Course,"6706 Alberta Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locarno Park,"4445 NW Marine Drive, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacDonald Park,"300 E 44th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacLean Park,"710 Keefer Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major Matthews Park,"2627 Manitoba Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Grove Park,"6875 Yew Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marpole Park,"1410 W 72nd Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McBride Park,"3350 W 4th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McSpadden Park,"2125 Victoria Drive, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memorial South Park,"5955 Ross Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memorial West Park,"4701 Dunbar Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moberly Park,"7646 Prince Albert Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery Park,"1040 W 43rd Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Pleasant Park,"3161 Ontario Street, Vancouver BC",,1,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanaimo Park,"2390 E 46th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelson Park,"1030 Bute Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Brighton Park,"3201 New Brighton Road, Vancouver BC",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norquay Park,"5050 Wales Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak Park,"900 W 59th Avenue, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oppenheimer Park,"400 Powell Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxford Park,"2050 Wall Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandora Park,"2325 Franklin Street, Vancouver BC",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
